"Geography","Number of establishments"
"Alameda County, California","41,999"
"Alpine County, California","47"
"Amador County, California","864"
"Butte County, California","4,675"
"Calaveras County, California","1,012"
"Colusa County, California","399"
"Contra Costa County, California","25,646"
"Del Norte County, California","433"
"El Dorado County, California","4,985"
"Fresno County, California","18,920"
"Glenn County, California","502"
"Humboldt County, California","3,226"
"Imperial County, California","2,674"
"Inyo County, California","495"
"Kern County, California","14,233"
"Kings County, California","1,791"
"Lake County, California","1,124"
"Lassen County, California","396"
"Los Angeles County, California","304,305"
"Madera County, California","2,258"
"Marin County, California","10,071"
"Mariposa County, California","358"
"Mendocino County, California","2,484"
"Merced County, California","3,499"
"Modoc County, California","160"
"Mono County, California","642"
"Monterey County, California","9,087"
"Napa County, California","4,455"
"Nevada County, California","3,310"
"Orange County, California","106,249"
"Placer County, California","12,047"
"Plumas County, California","615"
"Riverside County, California","45,583"
"Sacramento County, California","33,418"
"San Benito County, California","1,126"
"San Bernardino County, California","42,011"
"San Diego County, California","92,799"
"San Francisco County, California","33,513"
"San Joaquin County, California","13,307"
"San Luis Obispo County, California","9,006"
"San Mateo County, California","21,632"
"Santa Barbara County, California","12,375"
"Santa Clara County, California","48,879"
"Santa Cruz County, California","7,179"
"Shasta County, California","4,561"
"Sierra County, California","71"
"Siskiyou County, California","1,053"
"Solano County, California","7,681"
"Sonoma County, California","14,639"
"Stanislaus County, California","9,900"
"Sutter County, California","2,143"
"Tehama County, California","1,017"
"Trinity County, California","249"
"Tulare County, California","7,040"
"Tuolumne County, California","1,293"
"Ventura County, California","22,761"
"Yolo County, California","4,444"
"Yuba County, California","884"